ID ,Nme in English,Name in Amharic,Position,Place of Assignment,Detail,,
924,Ebrahim Teshome,?? ????? ???,?? ?? ?????,?????? ???? ???? ????? ????,FEDERAL GOVERNMENT  PUBLIC ENTERPRISE APPOINTEE AS PER 2010 E.C DATA ,,
925,Endawok Abite,?? ????? ???,?? ?? ?????,??? ?????,FEDERAL GOVERNMENT  PUBLIC ENTERPRISE APPOINTEE AS PER 2010 E.C DATA ,,
926,Abrham Demissie Charie,?? ????? ??? ??,?/?? ?? ?????,??? ?????,FEDERAL GOVERNMENT  PUBLIC ENTERPRISE APPOINTEE AS PER 2010 E.C DATA ,,
927,Rahmeto Anito,?? ???? ???,?/?? ?? ?????,??? ?????,FEDERAL GOVERNMENT  PUBLIC ENTERPRISE APPOINTEE AS PER 2010 E.C DATA ,,
928,Abera Mamo,?? ??? ??,?/?? ?? ?????,??? ?????,FEDERAL GOVERNMENT  PUBLIC ENTERPRISE APPOINTEE AS PER 2010 E.C DATA ,,
929,Endalkachew Damtie,?? ??????? ???,?/?? ?? ?????,??? ?????,FEDERAL GOVERNMENT  PUBLIC ENTERPRISE APPOINTEE AS PER 2010 E.C DATA ,,
930,Abayneh Bazezew Chekol,?? ????? ???? ???,?/?? ?? ?????,??? ?????,FEDERAL GOVERNMENT  PUBLIC ENTERPRISE APPOINTEE AS PER 2010 E.C DATA ,,
931,Bezabih G/Yes,?? ???? ?/??,?/?? ?? ?????,??? ?????,FEDERAL GOVERNMENT  PUBLIC ENTERPRISE APPOINTEE AS PER 2010 E.C DATA ,,
932,Woyo Roba,?? ?? ??,?/?? ?? ?????,??? ?????,FEDERAL GOVERNMENT  PUBLIC ENTERPRISE APPOINTEE AS PER 2010 E.C DATA ,,
933,Demitu Hambisa,???? ?/? ??? ????,???? ????? ?/?? ,?????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
934,Shimelis Abdisa,??? ?? ???? ????,???? ????? ?/??,?????? ???? ????? ????? ?? ?/?? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
935,Dr. Arkebe Ekubay,??? ?/? ???? ????,???? ????? ?/??,?????? ???? ????? ??? ?????? ????? ??? ??? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
936,Teklewold Atnafu,??? ?? ?????? ???? ,???? ????? ?/??,????? ????? ?????? ??? ???? ????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
937,Dessie Dalkie,??? ?? ?? ??? ,???? ????? ?/??,?????? ???? ?????? ??? ???? ????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
938,Temesgen Tiruneh,??? ?? ????? ???? ,???? ????? ?/??,????? ???? ???? ????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
939,Dr. Ambachew Mekonnen,????/? ????? ???? ,???? ????? ?/??,????? ????? ????? ???? ??? ??? ???? ????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
940,Melesse Alemu,??? ?? ??? ??? ,????? ????? ?/?? ( ????? ??),?????? ???? ?????? ???? ???? ??????? ???? ?? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
941,Tefera Deribew,??? ?? ??? ???? ,????? ????? ?/?? ( ????? ??),??????? ???? ???????? ???? ???? ??????? ???? ???? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
942,Fikadu Tessema,??? ?? ??? ??? ,????? ????? ?/?? ( ????? ??),?????? ???? ???????? ???? ???? ??????? ???? ???? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
943,Binalif Andualem,??? ?? ????? ?????? ,????? ????? ?/?? ,?????? ???? ???????? ???? ???? ??????? ???? ??? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
944,Zadig Abrha,??? ?? ??? ????,???? ????? ?/?? ,??????? ??? ???? ?????? ???? ???? ??????? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
945,Temesgen Burka,??? ?? ????? ??? ,???? ????? ?/?? ,?????? ??? ???? ?????? ???? ???? ??????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
946,Seadat Nasha,??? ?? ??? ??,???? ????? ?/?? ,?????? ??? ???? ?????? ???? ???? ??????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
947,Getachew Ambaye,??? ?? ???? ????,???? ????? ?/?? ,?????? ???  ???? ????? ????? ??? ???? ????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
948,Motuma Mekassa,??? ?? ??? ??? ,???? ????? ?/?? ,????? ????? ????? ????? ???? ???? ????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
949,Tesfahun Gobezay,??? ?? ????? ???? ,???? ????? ?/?? ,????? ????? ????? ????? ???? ???? ????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
950,Hayilay Birhane Tessema,??? ?? ???? ???? ???,???? ????? ?/?? ,????? ????? ????? ????? ???? ???? ????? ???  ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
951,Worku Guwangul,??? ?? ??? ???? ,???? ????? ?/?? ,??/?? ?????? ???????  ???? ????? ???,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
952,Fisha Yitagessu,??? ?? ??? ???? ,???? ????? ?/?? ,?????? ??? ???? ????? ???? ???? ???? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
953,Esayas Kassa,??? ?? ???? ?? ,???? ????? ?/?? ,???? ???? ????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
954,Mamo Esmelealemmihretu,??? ?? ?? ??????????? ,???? ????? ?/?? ,?????? ??? ???? ????? ????? ???? ???? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
955,Tesfaye Yigezu,??? ?? ???? ??? ,???? ????? ?/?? ,????? ????? ?/?? ?????? ??? ???? ????????? ????? ?/?? ?? ?? ?????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
956,Chanie Shimeka,??? ?? ?? ??? ,??? ????? ?/?? ,?????? ??? ???? ???? ????? ?/?? ?????? ??? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
957,Chanie Lemmie,??? ?? ?? ??,??? ????? ?/?? ,?????? ???  ???? ???? ????? ?/?? ?????? ??? ???  ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
958,G/Egziabher Araya,??? ?? ?/??????? ???? ,??? ????? ?/?? ,?????? ??? ???? ????? ?/ ?? ?????? ??? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
959,Muferiyat Kamil,???? ?/? ????? ??? ,???? ????? ,?????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
960,Kefyalew Tefera,??? ?? ????? ??? ,???? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
961,Zeynu Jemal,??? ?? ??? ??? ,???? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
962,Dr. Seyum Mesfin,??? ?/? ??? ???? ,???? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
963,Almaz Mekonnen,???? ?/? ???? ???? ,???? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
964,Dr. G/Egziabher G/Yohannes Adera,?/? ?/??????? ?/???? ???,???? ?? ????? ??? ????,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
965,Enginner Ayisha Mehammed Moussa,???? ????? ??? ???? ??,?????? ????? ,????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
966,Ambassador Lelealem G/Yohannes,???? ?????? ????? ?/????,?????? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
967,Fisha W/Senbet,??? ?? ?????????? ,?????? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
968,Dr. Workineh Gebeyehu,??? ?/? ????? ????,??? ??? ????? ,?????  ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
969,Hirut Zemene,???? ?/? ??? ??? ,??? ??? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
970,Ambassador Birtukan Ayano,???? ?????? ????? ???,??? ??? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
971,Dr. Aklilu H/Michael,??? ?/? ???? ?/???? ,??? ??? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
972,Dr. Marqos Teklie,??? ?/? ???? ??? ,??? ??? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
973,Ahmed Shide,??? ?? ???? ?? ,????? ????? ,?????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
974,Dr. Enginner Silesh Bekele Awulachew,?/? ????? ??? ??? ?????,???? ???? ?????? ?????,?????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
975,Admassu Nebebe Gedamu,??? ?? ???? ??? ???,????? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
976,Eyob Tekaligne,??? ?? ??? ???? ,????? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
977,Dr. Teshome Tafesse,??? ?/? ??? ???,????? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
978,Dr. Bekele Bullado Bukana,?/? ??? ??? ???,?????? ?????? ??????? ??????,?? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
979,Endalkachew Mihretu Gashano,?? ???????? ???? ???,?????? ??? ???,-,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
980,Birhanu Tsegaye,??? ?? ???? ???,???? ??? ??,???? ??? ??,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
981,Geleta Seyum,??? ?? ??? ??? ,???? ??? ??,???? ???? ??? ?? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
982,Admassu Ango,??? ???? ???,???? ??? ??,???? ???? ??? ?? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
983,Dr. Gedion Timotiyos,??? ?/? ???? ????? ,???? ??? ??,???? ???? ??? ?? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
984,Oumer Hussien,??? ?? ??? ???,????? ????? ,?????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
985,Dr. G/Egziabher G/Yohannes Adera,??? ?/? ?/??????? ?/????,????? ????? ,????? ????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
986,Sani Redi Ahmed,??? ?? ?? ?? ????,????? ????? ,????? ????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
987,Ayinalem Nigussie,???? ?/? ????? ???,????? ????? ,????? ????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
988,Dr. Kaba Ourgessa Dinsa,??? ?/? ?? ???? ???,????? ????? ,????? ????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
989,Dr. Eyassu Abrha,?/? ??? ???? ,????? ????? ,??/? ??? ???? ?????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
990,Fetlework G/Egziabher,???? ?/? ?????? ?/???????,????? ?????? ????? ,?????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
991,Dr. Firehiwot Woldehanna Bayu,?/? ??????? ????? ??,???? ???? ?????? ?????,????? ???,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
992,Yohannes Dinkayehu,??? ?? ???? ????? ,????? ?????? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
993,Eshetie Asfaw W/Hawariyat,??? ?? ??? ???? ?/?????,????? ?????? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
994,Ambassador Misganu Arega,??? ?????? ???? ???,????? ?????? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
995,Dr. Enginner Getahun Mekuriya,??? ?/? ????? ???? ????,?????? ?????? ????? ,????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
996,Esayas Tolla,??? ?? ???? ?? ,?????? ?????? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
997,Jemal Beker,??? ?? ??? ???,?????? ?????? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
998,Dr. Shumetie Gizaw W/Amanuel,??? ?/? ??? ??? ?/?????,?????? ?????? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
999,Dagmawit Moges,???? ?/? ????? ??? ,???????? ?????,?????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1000,Hiwot Mossisa Deressa,???? ?/? ???? ??? ???,???????? ?????,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1001,Mulu G/Egziabher G/Hiwot,???? ?/? ?? ?/???????  ?/????,???????? ?????,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1002,Hassen Abdulkadir,??? ?? ??? ???? ???,????? ??? ,???????? ????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1003,Awol Wegirs Mehammed,??? ?? ??? ???? ????,???????? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1004,Jantirar Abay Yigzaw,??? ?? ????? ??? ????,???? ???????? ?????,????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1005,Tezir G/Egziabher,??? ?? ??? ?/??????? ,???? ???????? ?????,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1006,Kalihid Abdrahman,??? ??? ???????,???? ???????? ?????,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1007,Kassahun Gofie,??? ???? ?? ,???? ???????? ?????,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1008,Dr. Enginner Silesh Bekele Awulachew,??? ?/? ????? ??? ??? ,??? ???? ???? ?????,????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1009,Dr. Firehiwot Woldehanna,??? ?/? ?????? ????? ,??? ???? ???? ?????,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1010,Abay Tsehaye Abay,?? ??? ??? ???,?? ?????? ,???? ???? ???? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1011,Dr. Negash Waqshaw,??? ?/? ??? ????,??? ???? ???? ?????,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1012,Dr. Abrha Adugna Ashenafi,??? ?/? ???? ??? ????,??? ???? ???? ?????,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1013,Samuel Hurkato,??? ?/? ???? ???? ,????? ??? ????? ,????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1014,Assefa Kumsa Afeta,??? ??? ??? ???,????? ??? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1015,Dr. Kongtut Lam,??? ?/? ????? ?? ,????? ??? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1016,Dr. Tilaye Getie Ambaye,??? ?/? ??? ?? ????,?????? ?????,????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1017,Mehammed Ahmedin Hassen,??? ?? ???? ????? ???,?????? ?????,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1018,Dr. Yesuf,??? ?/? ???,?????? ?????,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1019,Dr. Hirut W/Mariyam Teketel,???? ?/? ??? ??????? ????,?????? ???? ????? ????? ,?????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1020,Dr. Samuel Kifle Kidanie,??? ?/? ???? ??? ???,?????? ???? ????? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1021,Proffessor Afework Kassu,??? ????? ????? ?? ,?????? ???? ????? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1022,Dr. Abdiwas Abdulahi,??? ?/? ????? ????? ,?????? ???? ????? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1023,Dr. Amir Aman,??? ?/? ??? ??? ,?? ????? ,????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1024,Sahirla Abdulahi,???? ?/? ???? ????? ,?? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1025,Dr. Liya Tadesse,?/? ?? ??? ,?? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1026,Yalem Tsegaye,???? ?/? ??? ??? ,?????????? ???? ??? ????? ,????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1027,Alemitu Oumod Oujilu,???? ?/? ???? ???,?????????? ???? ??? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1028,Simegne Wube Haile,???? ?/? ??? ?? ???,?????????? ???? ??? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1029,Hiwot Hailu,???? ?/? ???? ??? ,?????????? ???? ??? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1030,Dr. Erbogie Tesfaye,???? ?/? ???? ???? ,?????? ????? ??? ????? ,????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1031,Getahun Abdissa,??? ?? ???? ???? ,?????? ????? ??? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1032,Ayelech Eshetie W/Semayat,???? ?/? ???? ??? ?/????,?????? ????? ??? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1033,Hirut Kassaw,???? ?/? ??? ??? ,????? ???? ????? ,????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1034,Buzena Alkedir,????? ?/? ??? ????? ,????? ???? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1035,Bizunesh Mesert,???? ?/? ???? ???? ,????? ???? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1036,Habtamu Sissay,??? ?? ???? ??? ,????? ???? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1037,Adanech Abebie Dossa,???? ?/? ???? ??? ??,????? ????? ,????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1038,Zemedie Tefera W/Giyorgis,??? ?? ??? ??? ?/?????,????? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1039,Alebel Dessie Moges,???? ?? ???,????? ??? ???? ???? ????,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1040,Mehammed Abdu Ahmed,??? ?? ???? ??? ???? ,????? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1041,Mihretab Minaseb Hailu,???? ?/? ???? ????? ???,????? ????? ,????? ??? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1042,Dr. Fitsum Assefa,???? ?/? ??? ???,????? ??? ???? ,????? (?????? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1043,Getachew Adem,??? ???? ??? ,????? ??? ???? ,???? ????? (?????? ??? ????),FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1044,Meseret Mesqelie,???? ?/? ???? ???? ,????? ??? ???? ,???? ????? (?????? ??? ????),FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1045,Fitsum Arega,?? ??? ??? ,????? ,???????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1046,Temesgen Tilahun,?? ????? ???? ,?/????? ,???????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1047,Anteneh Alemu,?? ????? ??? ,?/????? ,???????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1048,Teka G/Eyesus,?? ?? ?/??? ,?/????? ,???????? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1049,Lelise Lemmie,?/?? ??? ?? ,?? ?? ????? ,?????? ??????? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1050,Yilma Belachew,?? ??? ???? ,?????? ???? ???? ?? ????? ,?????? ??????? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1051,Shiferaw Selemon,?? ???? ???? ,??????? ?????? ???? ???? ?? ????? ,?????? ??????? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1052,Amare Asgedom,?? ??? ????? ,???? ??? ???? ?? ????? ,?????? ??????? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1053,Bezabih G/Yes,?? ???? ?/?? ,????? ,??? ???? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1054,Birhanu Feyissa,?? ???? ??? ,?/????? ,??? ???? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1055,Dr. Fikre Dessalegne,?/? ??? ???? ,?????? ,???? ???? ?????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1056,Dr. Addisalem Balema,???. ?/? ??? ??? ??? ,??????,??? ??? ???? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1057,Tsegaye Mamo Gastet,??? ?? ??? ?? ????,?/? ?????? ,??? ??? ???? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1058,Bezabih G/Silassie Tesfaye,?? ???? ?/??? ????,?/?? ?????? ,????? ??????? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1059,Demissie Shito Gonderie,??? ?? ??? ?? ????,?/? ?????? ,??? ??? ???? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1060,Haftom G/Egziabher Hagos,?? ???? ?/??????? ???,?/?? ?????? ,???? ????? ?? ?/? ???? ???????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1061,Tewolde Birhe Beyene,??? ?? ???? ??? ???,?/? ?????? ,??? ??? ???? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1062,Mekonnen Yai,?? ???? ?? ,?? ?????? ,?????? ???? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1063,G/Meskel Chala Motalo,?? ?/???? ??,???? ?? ?????? ,?????? ???? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1064,Mengistu Yitbarek,?? ????? ????? ,?? ?????? ,?????? ?? ???? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1065,Dr.Takele Chanie,?/? ??? ?? ,???? ?? ?????? ,?????? ?? ???? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1066,Hailekiros Debesey Melkamu,?? ?????? ???? ????,??? ?????? ??? ???????,?/?? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1067,Zekariyas Erkola Yimam,?? ????? ???? ???,????? ???? ?? ????? ???? ???????,?/?? ??????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1068,Mehammed Hussien Seid,?? ???? ??? ???,??? ?????? ??? ???????,?/?? ?????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1069,Daba Arya Gelan,?? ?? ??? ???,?? ?????? ,?????? ????? ????? ???? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1070,Mandefro Eshetie W/Michael,?? ????? ??? ?/????,????? ??? ,??? ???? ???? ????,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1071,Tilahun Bekele,?? ???? ??? ,?/?? ?????? ,?????? ????? ????? ???? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1072,Professor Fekadu Beyene Aleka,????? ??? ??? ???,????? ,????? ??? ???? ???? ??? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1073,Firenesh Mekuriya Gobena,?/? ???? ???? ???,?/????? ,????? ??? ???? ???? ??? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1074,Kebede Yimam Dawud,?? ??? ??? ???,?/????? ,????? ??? ???? ???? ??? ???? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1075,Dr. Melesse Mariyo,?/? ??? ??? ,?? ?????? ,?????? ??? ???? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1076,Dr. Feleke Weldeyes,?/? ??? ????? ,???? ?? ?????? ,?????? ??? ???? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1077,Dr. Abyiot Birhanu,?/? ???? ????,?? ?????? ,??????? ????? ?? ???? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
1078,Dr.Agiena Anjelo Tanga,?/? ??? ???? ???,???? ?? ?????? ,??????? ????? ?? ???? ??????? ,FEDERAL GOVERNMENT APPOINTEE AS PER 2011 E.C DATA ,,
